INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Lon_Lat,X_COORD_NORM,Y_COORD_NORM,Longitude,Latitude
224465522,02/16/2021,20:58:00,MANHATTAN,13,0,HOSPITAL,FALSE,NA,NA,NA,18-24,M,BLACK,990769,208776,POINT (-73.97647696499997 40.73972433900008),-18685.5586374472,882.223092553759,-73.97647696500003,40.73972433900009
226705487,04/08/2021,18:15:00,MANHATTAN,6,0,NA,FALSE,18-24,M,BLACK,18-24,M,BLACK,984288,205504,POINT (-73.99986434 40.73074590600004),-25166.5586374472,-2389.77690744624,-73.99986434000002,40.73074590600001
226705487,04/08/2021,18:15:00,MANHATTAN,6,0,NA,FALSE,25-44,M,BLACK,18-24,M,BLACK,984288,205504,POINT (-73.99986434 40.73074590600004),-25166.5586374472,-2389.77690744624,-73.99986434000002,40.73074590600001
223240541,01/18/2021,20:39:00,MANHATTAN,9,0,NA,TRUE,NA,NA,NA,25-44,M,BLACK,989559,202085,POINT (-73.98084865299995 40.72135998800008),-19895.5586374472,-5808.77690744624,-73.98084865300001,40.721359988000096
232888020,08/29/2021,21:43:00,MANHATTAN,7,0,NA,FALSE,25-44,F,BLACK,25-44,M,BLACK,987050,201534,POINT (-73.98990037199997 40.71984877500006),-22404.5586374472,-6359.77690744624,-73.98990037200001,40.719848775000095
229995493,06/23/2021,23:18:00,MANHATTAN,13,0,NA,FALSE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,988886,207857,POINT (-73.98327259799999 40.737203099000055),-20568.5586374472,-36.7769074462412,-73.98327259800001,40.7372030990001
235498961,10/25/2021,16:57:00,MANHATTAN,13,1,NA,FALSE,25-44,M,BLACK,25-44,M,WHITE,986546,207135,POINT (-73.99171665499993 40.73522230400005),-22908.5586374472,-758.776907446241,-73.99171665499992,40.7352223040001
229347036,06/10/2021,00:22:00,MANHATTAN,10,0,NA,TRUE,25-44,M,BLACK,25-44,M,BLACK,983423,209491,POINT (-74.00298585099996 40.741689200000046),-26031.5586374472,1597.22309255376,-74.00298585100003,40.741689199999996
232623736,08/23/2021,17:40:00,MANHATTAN,14,0,NA,FALSE,25-44,M,BLACK,45-64,M,WHITE,986465,212195,POINT (-73.99200726699996 40.74911076500007),-22989.5586374472,4301.22309255376,-73.99200726700003,40.74911076500009
237630149,12/09/2021,12:00:00,MANHATTAN,9,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,989869,202646,POINT (-73.97972982599998 40.722899606000055),-19585.5586374472,-5247.77690744624,-73.97972982600002,40.7228996060001
226321042,03/30/2021,13:35:00,MANHATTAN,7,0,NA,FALSE,18-24,M,BLACK,18-24,M,BLACK,987721,202253,POINT (-73.98747935099993 40.72182201900005),-21733.5586374472,-5640.77690744624,-73.98747935099992,40.7218220190001
229188281,06/06/2021,04:22:00,MANHATTAN,13,0,NA,TRUE,25-44,M,BLACK,25-44,M,BLACK,990438,208520,POINT (-73.97767164799995 40.73902192000002),-19016.5586374472,626.223092553759,-73.97767164800001,40.73902192
227950666,05/09/2021,04:40:00,MANHATTAN,9,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK HISPANIC,987496,203963,POINT (-73.98829024399998 40.72651564100005),-21958.5586374472,-3930.77690744624,-73.98829024400003,40.72651564100009
226230157,03/28/2021,23:00:00,MANHATTAN,6,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,984234,204728,POINT (-74.00005917499993 40.728615975000025),-25220.5586374472,-3165.77690744624,-74.00005917499993,40.728615975
228162837,05/13/2021,23:30:00,MANHATTAN,6,0,NA,FALSE,25-44,M,BLACK,25-44,M,BLACK,984433,206172,POINT (-73.99934114399997 40.73257940100007),-25021.5586374472,-1721.77690744624,-73.99934114400004,40.7325794010001
231637054,08/01/2021,02:15:00,MANHATTAN,17,0,NA,FALSE,NA,NA,NA,25-44,M,ASIAN / PACIFIC ISLANDER,990119,209875,POINT (-73.97882159799997 40.74274127600006),-19335.5586374472,1981.22309255376,-73.97882159800002,40.742741276000096
233199172,09/06/2021,18:00:00,MANHATTAN,5,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,987094,202504,POINT (-73.98974123199997 40.72251117700006),-22360.5586374472,-5389.77690744624,-73.98974123200003,40.722511177000094
146877501,10/12/2015,04:03:00,MANHATTAN,13,0,NA,FALSE,25-44,M,BLACK,25-44,F,BLACK,987111.5625,208704.234375,POINT (-73.98967523599998 40.739529299000026),-22342.9961374472,810.457467553759,-73.98967523600002,40.739529299
74895036,10/04/2010,03:57:00,MANHATTAN,13,0,NA,TRUE,25-44,M,BLACK,25-44,M,BLACK,987269.25,208193.265625,POINT (-73.98910643499994 40.73812676400007),-22185.3086374472,299.488717553759,-73.98910643499991,40.73812676400011
90095199,04/13/2013,13:49:00,MANHATTAN,9,0,NA,FALSE,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,989298.875,202384.640625,POINT (-73.98178685699997 40.72218258100003),-20155.6836374472,-5509.13628244624,-73.98178685700002,40.72218258099999
157639146,10/16/2016,00:49:00,MANHATTAN,13,0,NA,FALSE,25-44,M,BLACK,25-44,M,BLACK,985716.0625,209910.578125,POINT (-73.99471076399993 40.74284075500003),-23738.4961374472,2016.80121755376,-73.99471076399995,40.74284075500001
